Id,nFORCE__Feature_Translation__c,nFORCE__Translation_Key__c,nFORCE__Original_Text__c,nFORCE__Translated_Text__c,proposed_spanish,tracker_id,notes
a4AAU000003QosQ2AS,Route_Names,es:Route_Names:ICiMtNKJWIUf+fdni22rPA==,Collateral,,,,
a4AAU000003QosO2AS,Route_Names,es:Route_Names:UBbJN6KoS+YhpshWraU4dg==,Collateral Details,,,,
a4AAU000003QovB2AS,Route_Names,es:Route_Names:dXgkRpwLvz/3ZdpUuqsF4A==,Collateral Owned,,,,
a4AAU000003Qov62AC,Route_Names,es:Route_Names:aAvgXdoOSnQxupfj8J0UQQ==,Collateral Pledged,,Garantías asignadas,COLL(route),MATCHED TO TWC ITEM
a4AAU000003QosN2AS,Route_Names,es:Route_Names:X2ZAiAXJmEunYeEA+sulew==,Collateral Summary,,,,
a4AAU000003QovQ2AS,Route_Names,es:Route_Names:nAQIx3WithBSoucAqJ85bw==,Compliance,,,,
a4AAU000003Qotq2AC,Route_Names,es:Route_Names:csC3N9IWBApQ7U3i9RX7rA==,Conditional Lookups,,,,
a4AAU000003Qow92AC,Route_Names,es:Route_Names:Ip6wQIPgb0GfmsSUMp+VfQ==,Conditions,,Condiciones,NC-015/NC-046,MATCHED TO TWC ITEM
a4AAU000003Qout2AC,Route_Names,es:Route_Names:ybiqAHMNnYjIAx/H1CBJcA==,Connected Relationships,,,,
a4AAU000003QovC2AS,Route_Names,es:Route_Names:mKK8ecEdDLsZ+ZsrjHDm4w==,Connections,,,,
a4AAU000003QowY2AS,Route_Names,es:Route_Names:zUlNdkSdXf4MCt+y80R3YQ==,Contracts,,,,
a4AAU000003QotI2AS,Route_Names,es:Route_Names:e/6QokEJc7lIutoNYfc8xw==,Copy Loan,,,,
a4AAU000003Qoss2AC,Route_Names,es:Route_Names:cfs2ns2iXz5D4Doi0vyyYQ==,Counterparty Report,,,,
a4AAU000003Qot92AC,Route_Names,es:Route_Names:7BkLJ5hMhBS/NrwAIVNj/Q==,Covenant Management,,,,
a4AAU000003Qot82AC,Route_Names,es:Route_Names:8TbadRswS7z41TNkDhQEeA==,Covenants,,,,
a4AAU000003Qosx2AC,Route_Names,es:Route_Names:KmjVdnwPDL5dYk7T+B7ReQ==,Create Relationship,,,,
a4AAU000003QouI2AS,Route_Names,es:Route_Names:PylzUJ8BS4IQ3LHRFEKq8g==,Create Risk Rating,,,,
a4AAU000003Qotj2AC,Route_Names,es:Route_Names:x1/D08FMuhXRJFb8BhE7MQ==,Credit Action,,,,
a4AAU000003Qoug2AC,Route_Names,es:Route_Names:DaYg9w17foaPr2/JkEWvkA==,Credit Actionable Loans,,,,
a4AAU000003Qouh2AC,Route_Names,es:Route_Names:Oz3wW8TE9xOaK4pCwGdjkw==,Credit Actions,,,,
a4AAU000003QouZ2AS,Route_Names,es:Route_Names:wlR+6DvJyn5VqL0BAmszPQ==,Credit Analysis Data Mapping,,,,
a4AAU000003QotF2AS,Route_Names,es:Route_Names:KaNa2Cl828SAMaP2jaI1iA==,Credit Memo,,,,
a4AAU000003Qosw2AC,Route_Names,es:Route_Names:qty+yQh8YJodghORZZX9Tg==,Credit Memo Configuration,,,,
a4AAU000003QovA2AS,Route_Names,es:Route_Names:u4Cy+ZntzGUPJSMvSc9jxQ==,Credit Reports,,,,
a4AAU000003Qovi2AC,Route_Names,es:Route_Names:PXinpyfdZ9NU0jVaPXDU3g==,Customer Portal,,,,
a4AAU000003QosI2AS,Route_Names,es:Route_Names:VoSD6b2FUE88nc7yTs0yNQ==,Data Management,,,,
a4AAU000003QowS2AS,Route_Names,es:Route_Names:s5HkAKNjD/QF8Rmd3rwx5Q==,Date-Based Template Builder,,,,
a4AAU000003QowQ2AS,Route_Names,es:Route_Names:XTD1T8XxKJT9Gvv01BxZaQ==,Decision,,,,
a4AAU000003QotO2AS,Route_Names,es:Route_Names:z0B3dcm+W6/1F+1evU66Lw==,Decision History,,,,
a4AAU000003Qoty2AC,Route_Names,es:Route_Names:ThDz0+2fNHLLTYNvjyUBHQ==,Decisioning,,,,
a4AAU000003Qov42AC,Route_Names,es:Route_Names:cRGj50pUb9viVL1PZyXR/Q==,Deposit Accounts,,,,
a4AAU000003QouD2AS,Route_Names,es:Route_Names:laH9TTd3NCOKkHisRck4sg==,Deposit Products,,,,
a4AAU000003Qote2AC,Route_Names,es:Route_Names:sUtAlc/ak8gWhqyB3qTb7Q==,Deposits,,,,
a4AAU000003Qour2AC,Route_Names,es:Route_Names:PsNl3VM9237z0cERGGzocg==,Details,,,,
a4AAU000003Qov72AC,Route_Names,es:Route_Names:mDxwGRLkK7o82zOmxYk0FA==,DocuSign,,DocuSign,REL-009,MATCHED TO TWC ITEM
a4AAU000003Qost2AC,Route_Names,es:Route_Names:ON2T1AZCZ+kaizvWmodatQ==,Document Manager,,,,
a4AAU000003Qov32AC,Route_Names,es:Route_Names:HcvQ9e39OqwnRDflqNkcfA==,Document Manager Admin,,,,
